00:00 - Blood Pressure (mmHg): Systolic=119, Diastolic=89
01:02 - Blood Pressure (mmHg): Systolic=103, Diastolic=88
01:03 - Blood Pressure (mmHg): Systolic=106, Diastolic=76
01:04 - Blood Pressure (mmHg): Systolic=104, Diastolic=86
01:05 - Blood Pressure (mmHg): Systolic=129, Diastolic=87
01:06 - Blood Pressure (mmHg): Systolic=111, Diastolic=75
01:07 - Blood Pressure (mmHg): Systolic=121, Diastolic=72
01:08 - Blood Pressure (mmHg): Systolic=108, Diastolic=86
01:09 - Blood Pressure (mmHg): Systolic=101, Diastolic=89
01:10 - Blood Pressure (mmHg): Systolic=108, Diastolic=90
01:11 - Blood Pressure (mmHg): Systolic=108, Diastolic=89
01:12 - Blood Pressure (mmHg): Systolic=128, Diastolic=81
01:13 - Blood Pressure (mmHg): Systolic=115, Diastolic=87
01:14 - Blood Pressure (mmHg): Systolic=107, Diastolic=76
01:15 - Blood Pressure (mmHg): Systolic=114, Diastolic=77
01:16 - Blood Pressure (mmHg): Systolic=114, Diastolic=72
01:17 - Blood Pressure (mmHg): Systolic=114, Diastolic=71
01:18 - Blood Pressure (mmHg): Systolic=112, Diastolic=79
01:19 - Blood Pressure (mmHg): Systolic=111, Diastolic=72
01:20 - Blood Pressure (mmHg): Systolic=111, Diastolic=90
01:21 - Blood Pressure (mmHg): Systolic=115, Diastolic=84
01:22 - Blood Pressure (mmHg): Systolic=105, Diastolic=71
01:23 - Blood Pressure (mmHg): Systolic=129, Diastolic=75
01:24 - Blood Pressure (mmHg): Systolic=115, Diastolic=82
01:25 - Blood Pressure (mmHg): Systolic=113, Diastolic=89
01:26 - Blood Pressure (mmHg): Systolic=130, Diastolic=77
01:27 - Blood Pressure (mmHg): Systolic=130, Diastolic=83
01:28 - Blood Pressure (mmHg): Systolic=127, Diastolic=83
01:29 - Blood Pressure (mmHg): Systolic=123, Diastolic=88
01:30 - Blood Pressure (mmHg): Systolic=102, Diastolic=73
01:31 - Blood Pressure (mmHg): Systolic=125, Diastolic=79
01:32 - Blood Pressure (mmHg): Systolic=103, Diastolic=85
01:33 - Blood Pressure (mmHg): Systolic=123, Diastolic=82
01:34 - Blood Pressure (mmHg): Systolic=118, Diastolic=71
01:35 - Blood Pressure (mmHg): Systolic=118, Diastolic=88
01:36 - Blood Pressure (mmHg): Systolic=111, Diastolic=80
01:37 - Blood Pressure (mmHg): Systolic=124, Diastolic=84
01:38 - Blood Pressure (mmHg): Systolic=116, Diastolic=84
01:39 - Blood Pressure (mmHg): Systolic=126, Diastolic=78
01:40 - Blood Pressure (mmHg): Systolic=114, Diastolic=83
01:41 - Blood Pressure (mmHg): Systolic=124, Diastolic=90
01:42 - Blood Pressure (mmHg): Systolic=129, Diastolic=89
01:43 - Blood Pressure (mmHg): Systolic=121, Diastolic=87
01:44 - Blood Pressure (mmHg): Systolic=109, Diastolic=84
01:45 - Blood Pressure (mmHg): Systolic=113, Diastolic=77
01:46 - Blood Pressure (mmHg): Systolic=113, Diastolic=86
01:47 - Blood Pressure (mmHg): Systolic=114, Diastolic=87
01:48 - Blood Pressure (mmHg): Systolic=119, Diastolic=72
01:49 - Blood Pressure (mmHg): Systolic=110, Diastolic=71
01:50 - Blood Pressure (mmHg): Systolic=119, Diastolic=85
01:51 - Blood Pressure (mmHg): Systolic=104, Diastolic=89
01:52 - Blood Pressure (mmHg): Systolic=118, Diastolic=75
01:53 - Blood Pressure (mmHg): Systolic=117, Diastolic=78
01:54 - Blood Pressure (mmHg): Systolic=130, Diastolic=88
01:55 - Blood Pressure (mmHg): Systolic=119, Diastolic=72
01:56 - Blood Pressure (mmHg): Systolic=102, Diastolic=86
01:57 - Blood Pressure (mmHg): Systolic=130, Diastolic=74
01:58 - Blood Pressure (mmHg): Systolic=121, Diastolic=72
01:59 - Blood Pressure (mmHg): Systolic=122, Diastolic=90
02:00 - Blood Pressure (mmHg): Systolic=106, Diastolic=82
02:01 - Blood Pressure (mmHg): Systolic=104, Diastolic=80
02:02 - Blood Pressure (mmHg): Systolic=106, Diastolic=87
02:03 - Blood Pressure (mmHg): Systolic=127, Diastolic=87
02:04 - Blood Pressure (mmHg): Systolic=101, Diastolic=86
02:05 - Blood Pressure (mmHg): Systolic=120, Diastolic=90
02:06 - Blood Pressure (mmHg): Systolic=100, Diastolic=84
02:07 - Blood Pressure (mmHg): Systolic=101, Diastolic=83
02:08 - Blood Pressure (mmHg): Systolic=122, Diastolic=72
02:09 - Blood Pressure (mmHg): Systolic=113, Diastolic=82
02:10 - Blood Pressure (mmHg): Systolic=126, Diastolic=74
02:11 - Blood Pressure (mmHg): Systolic=117, Diastolic=86
02:12 - Blood Pressure (mmHg): Systolic=104, Diastolic=87
02:13 - Blood Pressure (mmHg): Systolic=105, Diastolic=77
02:14 - Blood Pressure (mmHg): Systolic=121, Diastolic=90
02:15 - Blood Pressure (mmHg): Systolic=126, Diastolic=71
02:16 - Blood Pressure (mmHg): Systolic=104, Diastolic=77
02:17 - Blood Pressure (mmHg): Systolic=110, Diastolic=77
02:18 - Blood Pressure (mmHg): Systolic=105, Diastolic=72
02:19 - Blood Pressure (mmHg): Systolic=119, Diastolic=79
02:20 - Blood Pressure (mmHg): Systolic=126, Diastolic=72
02:21 - Blood Pressure (mmHg): Systolic=113, Diastolic=86
02:22 - Blood Pressure (mmHg): Systolic=121, Diastolic=79
02:23 - Blood Pressure (mmHg): Systolic=104, Diastolic=87
02:24 - Blood Pressure (mmHg): Systolic=104, Diastolic=72
02:25 - Blood Pressure (mmHg): Systolic=102, Diastolic=72
02:26 - Blood Pressure (mmHg): Systolic=109, Diastolic=86
02:27 - Blood Pressure (mmHg): Systolic=123, Diastolic=71
02:28 - Blood Pressure (mmHg): Systolic=109, Diastolic=89
02:29 - Blood Pressure (mmHg): Systolic=125, Diastolic=88
02:30 - Blood Pressure (mmHg): Systolic=122, Diastolic=84
02:31 - Blood Pressure (mmHg): Systolic=112, Diastolic=86
02:32 - Blood Pressure (mmHg): Systolic=101, Diastolic=76
02:33 - Blood Pressure (mmHg): Systolic=101, Diastolic=70
02:34 - Blood Pressure (mmHg): Systolic=110, Diastolic=85
02:35 - Blood Pressure (mmHg): Systolic=110, Diastolic=79
02:36 - Blood Pressure (mmHg): Systolic=107, Diastolic=89
02:37 - Blood Pressure (mmHg): Systolic=112, Diastolic=83
02:38 - Blood Pressure (mmHg): Systolic=103, Diastolic=86
02:39 - Blood Pressure (mmHg): Systolic=100, Diastolic=73
02:40 - Blood Pressure (mmHg): Systolic=123, Diastolic=72
02:41 - Blood Pressure (mmHg): Systolic=107, Diastolic=72
02:42 - Blood Pressure (mmHg): Systolic=130, Diastolic=84
02:43 - Blood Pressure (mmHg): Systolic=114, Diastolic=86
02:44 - Blood Pressure (mmHg): Systolic=114, Diastolic=87
02:45 - Blood Pressure (mmHg): Systolic=125, Diastolic=80
02:46 - Blood Pressure (mmHg): Systolic=104, Diastolic=73
02:47 - Blood Pressure (mmHg): Systolic=101, Diastolic=89
02:48 - Blood Pressure (mmHg): Systolic=120, Diastolic=86
02:49 - Blood Pressure (mmHg): Systolic=107, Diastolic=81
02:50 - Blood Pressure (mmHg): Systolic=105, Diastolic=75
02:51 - Blood Pressure (mmHg): Systolic=105, Diastolic=82
02:52 - Blood Pressure (mmHg): Systolic=119, Diastolic=88
02:53 - Blood Pressure (mmHg): Systolic=123, Diastolic=70
02:54 - Blood Pressure (mmHg): Systolic=123, Diastolic=86
02:55 - Blood Pressure (mmHg): Systolic=115, Diastolic=79
02:56 - Blood Pressure (mmHg): Systolic=127, Diastolic=80
02:57 - Blood Pressure (mmHg): Systolic=112, Diastolic=81
02:58 - Blood Pressure (mmHg): Systolic=100, Diastolic=80
02:59 - Blood Pressure (mmHg): Systolic=119, Diastolic=70
03:00 - Blood Pressure (mmHg): Systolic=117, Diastolic=89
03:01 - Blood Pressure (mmHg): Systolic=124, Diastolic=83
03:02 - Blood Pressure (mmHg): Systolic=109, Diastolic=81
03:03 - Blood Pressure (mmHg): Systolic=130, Diastolic=90
03:04 - Blood Pressure (mmHg): Systolic=130, Diastolic=79
03:05 - Blood Pressure (mmHg): Systolic=128, Diastolic=83
03:06 - Blood Pressure (mmHg): Systolic=111, Diastolic=83
03:07 - Blood Pressure (mmHg): Systolic=125, Diastolic=71
03:08 - Blood Pressure (mmHg): Systolic=112, Diastolic=71
03:09 - Blood Pressure (mmHg): Systolic=117, Diastolic=79
03:10 - Blood Pressure (mmHg): Systolic=109, Diastolic=90
03:11 - Blood Pressure (mmHg): Systolic=107, Diastolic=75
03:12 - Blood Pressure (mmHg): Systolic=107, Diastolic=88
03:13 - Blood Pressure (mmHg): Systolic=107, Diastolic=75
03:14 - Blood Pressure (mmHg): Systolic=126, Diastolic=82
03:15 - Blood Pressure (mmHg): Systolic=108, Diastolic=84
03:16 - Blood Pressure (mmHg): Systolic=107, Diastolic=90
03:17 - Blood Pressure (mmHg): Systolic=126, Diastolic=72
03:18 - Blood Pressure (mmHg): Systolic=119, Diastolic=83
03:19 - Blood Pressure (mmHg): Systolic=124, Diastolic=83
03:20 - Blood Pressure (mmHg): Systolic=129, Diastolic=77
03:21 - Blood Pressure (mmHg): Systolic=114, Diastolic=72
03:22 - Blood Pressure (mmHg): Systolic=127, Diastolic=74
03:23 - Blood Pressure (mmHg): Systolic=101, Diastolic=82
03:24 - Blood Pressure (mmHg): Systolic=107, Diastolic=73
03:25 - Blood Pressure (mmHg): Systolic=130, Diastolic=74
03:26 - Blood Pressure (mmHg): Systolic=115, Diastolic=79
03:27 - Blood Pressure (mmHg): Systolic=127, Diastolic=79
03:28 - Blood Pressure (mmHg): Systolic=117, Diastolic=84
03:29 - Blood Pressure (mmHg): Systolic=110, Diastolic=79
03:30 - Blood Pressure (mmHg): Systolic=115, Diastolic=88
03:31 - Blood Pressure (mmHg): Systolic=119, Diastolic=81
03:32 - Blood Pressure (mmHg): Systolic=107, Diastolic=82
03:33 - Blood Pressure (mmHg): Systolic=101, Diastolic=86
03:34 - Blood Pressure (mmHg): Systolic=119, Diastolic=82
03:35 - Blood Pressure (mmHg): Systolic=125, Diastolic=75
03:36 - Blood Pressure (mmHg): Systolic=114, Diastolic=74
03:37 - Blood Pressure (mmHg): Systolic=106, Diastolic=82
03:38 - Blood Pressure (mmHg): Systolic=117, Diastolic=82
03:39 - Blood Pressure (mmHg): Systolic=105, Diastolic=81
03:40 - Blood Pressure (mmHg): Systolic=100, Diastolic=78
03:41 - Blood Pressure (mmHg): Systolic=126, Diastolic=89
03:42 - Blood Pressure (mmHg): Systolic=130, Diastolic=72
03:43 - Blood Pressure (mmHg): Systolic=121, Diastolic=82
03:44 - Blood Pressure (mmHg): Systolic=109, Diastolic=71
03:45 - Blood Pressure (mmHg): Systolic=108, Diastolic=79
03:46 - Blood Pressure (mmHg): Systolic=100, Diastolic=84
03:47 - Blood Pressure (mmHg): Systolic=122, Diastolic=78
03:48 - Blood Pressure (mmHg): Systolic=104, Diastolic=77
03:49 - Blood Pressure (mmHg): Systolic=125, Diastolic=89
03:50 - Blood Pressure (mmHg): Systolic=122, Diastolic=82
03:51 - Blood Pressure (mmHg): Systolic=104, Diastolic=81
03:52 - Blood Pressure (mmHg): Systolic=119, Diastolic=90
03:53 - Blood Pressure (mmHg): Systolic=126, Diastolic=81
03:54 - Blood Pressure (mmHg): Systolic=110, Diastolic=83
03:55 - Blood Pressure (mmHg): Systolic=127, Diastolic=79
03:56 - Blood Pressure (mmHg): Systolic=102, Diastolic=86
03:57 - Blood Pressure (mmHg): Systolic=123, Diastolic=80
03:58 - Blood Pressure (mmHg): Systolic=113, Diastolic=84
03:59 - Blood Pressure (mmHg): Systolic=108, Diastolic=89
04:00 - Blood Pressure (mmHg): Systolic=128, Diastolic=80
04:01 - Blood Pressure (mmHg): Systolic=116, Diastolic=86
04:02 - Blood Pressure (mmHg): Systolic=128, Diastolic=75
04:03 - Blood Pressure (mmHg): Systolic=100, Diastolic=85
04:04 - Blood Pressure (mmHg): Systolic=126, Diastolic=85
04:05 - Blood Pressure (mmHg): Systolic=112, Diastolic=82
04:06 - Blood Pressure (mmHg): Systolic=120, Diastolic=89
04:07 - Blood Pressure (mmHg): Systolic=127, Diastolic=89
04:08 - Blood Pressure (mmHg): Systolic=111, Diastolic=70
04:09 - Blood Pressure (mmHg): Systolic=105, Diastolic=86
04:10 - Blood Pressure (mmHg): Systolic=102, Diastolic=90
04:11 - Blood Pressure (mmHg): Systolic=114, Diastolic=87
04:12 - Blood Pressure (mmHg): Systolic=129, Diastolic=76
04:13 - Blood Pressure (mmHg): Systolic=105, Diastolic=84
04:14 - Blood Pressure (mmHg): Systolic=114, Diastolic=79
04:15 - Blood Pressure (mmHg): Systolic=116, Diastolic=86
04:16 - Blood Pressure (mmHg): Systolic=103, Diastolic=88
04:17 - Blood Pressure (mmHg): Systolic=130, Diastolic=83
04:18 - Blood Pressure (mmHg): Systolic=121, Diastolic=84
04:19 - Blood Pressure (mmHg): Systolic=124, Diastolic=78
04:20 - Blood Pressure (mmHg): Systolic=109, Diastolic=77
04:21 - Blood Pressure (mmHg): Systolic=124, Diastolic=86
04:22 - Blood Pressure (mmHg): Systolic=105, Diastolic=89
04:23 - Blood Pressure (mmHg): Systolic=122, Diastolic=87
04:24 - Blood Pressure (mmHg): Systolic=129, Diastolic=71
04:25 - Blood Pressure (mmHg): Systolic=120, Diastolic=72
04:26 - Blood Pressure (mmHg): Systolic=126, Diastolic=78
04:27 - Blood Pressure (mmHg): Systolic=101, Diastolic=85
04:28 - Blood Pressure (mmHg): Systolic=101, Diastolic=79
04:29 - Blood Pressure (mmHg): Systolic=116, Diastolic=86
04:30 - Blood Pressure (mmHg): Systolic=110, Diastolic=88
04:31 - Blood Pressure (mmHg): Systolic=128, Diastolic=89
04:32 - Blood Pressure (mmHg): Systolic=118, Diastolic=80
04:33 - Blood Pressure (mmHg): Systolic=125, Diastolic=80
04:34 - Blood Pressure (mmHg): Systolic=106, Diastolic=87
04:35 - Blood Pressure (mmHg): Systolic=124, Diastolic=87
04:36 - Blood Pressure (mmHg): Systolic=101, Diastolic=72
04:37 - Blood Pressure (mmHg): Systolic=101, Diastolic=86
04:38 - Blood Pressure (mmHg): Systolic=106, Diastolic=72
04:39 - Blood Pressure (mmHg): Systolic=124, Diastolic=81
04:40 - Blood Pressure (mmHg): Systolic=117, Diastolic=73
04:41 - Blood Pressure (mmHg): Systolic=125, Diastolic=81
04:42 - Blood Pressure (mmHg): Systolic=119, Diastolic=80
04:43 - Blood Pressure (mmHg): Systolic=104, Diastolic=76
04:44 - Blood Pressure (mmHg): Systolic=127, Diastolic=81
04:45 - Blood Pressure (mmHg): Systolic=112, Diastolic=81
04:46 - Blood Pressure (mmHg): Systolic=100, Diastolic=74
04:47 - Blood Pressure (mmHg): Systolic=126, Diastolic=83
04:48 - Blood Pressure (mmHg): Systolic=119, Diastolic=72
04:49 - Blood Pressure (mmHg): Systolic=102, Diastolic=72
04:50 - Blood Pressure (mmHg): Systolic=116, Diastolic=89
04:51 - Blood Pressure (mmHg): Systolic=125, Diastolic=83
04:52 - Blood Pressure (mmHg): Systolic=127, Diastolic=77
04:53 - Blood Pressure (mmHg): Systolic=118, Diastolic=77
04:54 - Blood Pressure (mmHg): Systolic=125, Diastolic=90
04:55 - Blood Pressure (mmHg): Systolic=114, Diastolic=78
04:56 - Blood Pressure (mmHg): Systolic=102, Diastolic=87
04:57 - Blood Pressure (mmHg): Systolic=106, Diastolic=85
04:58 - Blood Pressure (mmHg): Systolic=119, Diastolic=90
04:59 - Blood Pressure (mmHg): Systolic=125, Diastolic=84
05:00 - Blood Pressure (mmHg): Systolic=108, Diastolic=76
05:01 - Blood Pressure (mmHg): Systolic=117, Diastolic=87
05:02 - Blood Pressure (mmHg): Systolic=107, Diastolic=77
05:03 - Blood Pressure (mmHg): Systolic=117, Diastolic=86
05:04 - Blood Pressure (mmHg): Systolic=109, Diastolic=79
05:05 - Blood Pressure (mmHg): Systolic=124, Diastolic=86
05:06 - Blood Pressure (mmHg): Systolic=114, Diastolic=73
05:07 - Blood Pressure (mmHg): Systolic=108, Diastolic=79
05:08 - Blood Pressure (mmHg): Systolic=111, Diastolic=82
05:09 - Blood Pressure (mmHg): Systolic=107, Diastolic=84
05:10 - Blood Pressure (mmHg): Systolic=120, Diastolic=70
05:11 - Blood Pressure (mmHg): Systolic=107, Diastolic=72
05:12 - Blood Pressure (mmHg): Systolic=125, Diastolic=77
05:13 - Blood Pressure (mmHg): Systolic=129, Diastolic=71
05:14 - Blood Pressure (mmHg): Systolic=112, Diastolic=74
05:15 - Blood Pressure (mmHg): Systolic=124, Diastolic=73
05:16 - Blood Pressure (mmHg): Systolic=120, Diastolic=83
05:17 - Blood Pressure (mmHg): Systolic=102, Diastolic=72
05:18 - Blood Pressure (mmHg): Systolic=126, Diastolic=75
05:19 - Blood Pressure (mmHg): Systolic=119, Diastolic=89
05:20 - Blood Pressure (mmHg): Systolic=110, Diastolic=82
05:21 - Blood Pressure (mmHg): Systolic=119, Diastolic=70
05:22 - Blood Pressure (mmHg): Systolic=128, Diastolic=81
05:23 - Blood Pressure (mmHg): Systolic=112, Diastolic=76
05:24 - Blood Pressure (mmHg): Systolic=120, Diastolic=77
05:25 - Blood Pressure (mmHg): Systolic=130, Diastolic=80
05:26 - Blood Pressure (mmHg): Systolic=103, Diastolic=70
05:27 - Blood Pressure (mmHg): Systolic=110, Diastolic=90
05:28 - Blood Pressure (mmHg): Systolic=108, Diastolic=88
05:29 - Blood Pressure (mmHg): Systolic=108, Diastolic=82
05:30 - Blood Pressure (mmHg): Systolic=102, Diastolic=73
05:31 - Blood Pressure (mmHg): Systolic=127, Diastolic=90
05:32 - Blood Pressure (mmHg): Systolic=125, Diastolic=72
05:33 - Blood Pressure (mmHg): Systolic=104, Diastolic=81
05:34 - Blood Pressure (mmHg): Systolic=112, Diastolic=84
05:35 - Blood Pressure (mmHg): Systolic=104, Diastolic=77
05:36 - Blood Pressure (mmHg): Systolic=106, Diastolic=80
05:37 - Blood Pressure (mmHg): Systolic=122, Diastolic=71
05:38 - Blood Pressure (mmHg): Systolic=125, Diastolic=79
05:39 - Blood Pressure (mmHg): Systolic=129, Diastolic=72
05:40 - Blood Pressure (mmHg): Systolic=120, Diastolic=87
05:41 - Blood Pressure (mmHg): Systolic=113, Diastolic=74
05:42 - Blood Pressure (mmHg): Systolic=115, Diastolic=72
05:43 - Blood Pressure (mmHg): Systolic=116, Diastolic=76
05:44 - Blood Pressure (mmHg): Systolic=110, Diastolic=77
05:45 - Blood Pressure (mmHg): Systolic=128, Diastolic=71
05:46 - Blood Pressure (mmHg): Systolic=116, Diastolic=76
05:47 - Blood Pressure (mmHg): Systolic=101, Diastolic=84
05:48 - Blood Pressure (mmHg): Systolic=124, Diastolic=76
05:49 - Blood Pressure (mmHg): Systolic=104, Diastolic=76
05:50 - Blood Pressure (mmHg): Systolic=125, Diastolic=71
05:51 - Blood Pressure (mmHg): Systolic=128, Diastolic=85
05:52 - Blood Pressure (mmHg): Systolic=114, Diastolic=78
05:53 - Blood Pressure (mmHg): Systolic=105, Diastolic=70
05:54 - Blood Pressure (mmHg): Systolic=123, Diastolic=82
05:55 - Blood Pressure (mmHg): Systolic=114, Diastolic=72
05:56 - Blood Pressure (mmHg): Systolic=102, Diastolic=76
05:57 - Blood Pressure (mmHg): Systolic=126, Diastolic=88
05:58 - Blood Pressure (mmHg): Systolic=105, Diastolic=77
05:59 - Blood Pressure (mmHg): Systolic=110, Diastolic=85
06:00 - Blood Pressure (mmHg): Systolic=120, Diastolic=83
06:01 - Blood Pressure (mmHg): Systolic=124, Diastolic=80
06:02 - Blood Pressure (mmHg): Systolic=119, Diastolic=89
06:03 - Blood Pressure (mmHg): Systolic=119, Diastolic=74
06:04 - Blood Pressure (mmHg): Systolic=124, Diastolic=73
06:05 - Blood Pressure (mmHg): Systolic=113, Diastolic=88
06:06 - Blood Pressure (mmHg): Systolic=116, Diastolic=76
06:07 - Blood Pressure (mmHg): Systolic=111, Diastolic=72
06:08 - Blood Pressure (mmHg): Systolic=129, Diastolic=86
06:09 - Blood Pressure (mmHg): Systolic=123, Diastolic=72
06:10 - Blood Pressure (mmHg): Systolic=110, Diastolic=89
06:11 - Blood Pressure (mmHg): Systolic=102, Diastolic=90
06:12 - Blood Pressure (mmHg): Systolic=129, Diastolic=88
06:13 - Blood Pressure (mmHg): Systolic=109, Diastolic=78
06:14 - Blood Pressure (mmHg): Systolic=128, Diastolic=90
06:15 - Blood Pressure (mmHg): Systolic=121, Diastolic=73
06:16 - Blood Pressure (mmHg): Systolic=105, Diastolic=85
06:17 - Blood Pressure (mmHg): Systolic=113, Diastolic=75
06:18 - Blood Pressure (mmHg): Systolic=127, Diastolic=82
06:19 - Blood Pressure (mmHg): Systolic=101, Diastolic=83
06:20 - Blood Pressure (mmHg): Systolic=125, Diastolic=72
06:21 - Blood Pressure (mmHg): Systolic=110, Diastolic=70
06:22 - Blood Pressure (mmHg): Systolic=105, Diastolic=83
06:23 - Blood Pressure (mmHg): Systolic=112, Diastolic=75
06:24 - Blood Pressure (mmHg): Systolic=106, Diastolic=72
06:25 - Blood Pressure (mmHg): Systolic=101, Diastolic=70
06:26 - Blood Pressure (mmHg): Systolic=109, Diastolic=75
06:27 - Blood Pressure (mmHg): Systolic=101, Diastolic=79
06:28 - Blood Pressure (mmHg): Systolic=104, Diastolic=76
06:29 - Blood Pressure (mmHg): Systolic=110, Diastolic=85
06:30 - Blood Pressure (mmHg): Systolic=112, Diastolic=78
06:31 - Blood Pressure (mmHg): Systolic=130, Diastolic=81
06:32 - Blood Pressure (mmHg): Systolic=118, Diastolic=70
06:33 - Blood Pressure (mmHg): Systolic=110, Diastolic=81
06:34 - Blood Pressure (mmHg): Systolic=104, Diastolic=89
06:35 - Blood Pressure (mmHg): Systolic=110, Diastolic=73
06:36 - Blood Pressure (mmHg): Systolic=102, Diastolic=88
06:37 - Blood Pressure (mmHg): Systolic=110, Diastolic=78
06:38 - Blood Pressure (mmHg): Systolic=110, Diastolic=80
06:39 - Blood Pressure (mmHg): Systolic=103, Diastolic=70
06:40 - Blood Pressure (mmHg): Systolic=106, Diastolic=73
06:41 - Blood Pressure (mmHg): Systolic=114, Diastolic=77
06:42 - Blood Pressure (mmHg): Systolic=122, Diastolic=90
06:43 - Blood Pressure (mmHg): Systolic=119, Diastolic=70
06:44 - Blood Pressure (mmHg): Systolic=113, Diastolic=85
06:45 - Blood Pressure (mmHg): Systolic=122, Diastolic=74
06:46 - Blood Pressure (mmHg): Systolic=107, Diastolic=83
06:47 - Blood Pressure (mmHg): Systolic=119, Diastolic=89
06:48 - Blood Pressure (mmHg): Systolic=107, Diastolic=71
06:49 - Blood Pressure (mmHg): Systolic=113, Diastolic=70
06:50 - Blood Pressure (mmHg): Systolic=117, Diastolic=87
06:51 - Blood Pressure (mmHg): Systolic=104, Diastolic=79
06:52 - Blood Pressure (mmHg): Systolic=108, Diastolic=89
06:53 - Blood Pressure (mmHg): Systolic=130, Diastolic=89
06:54 - Blood Pressure (mmHg): Systolic=100, Diastolic=81
06:55 - Blood Pressure (mmHg): Systolic=100, Diastolic=82
06:56 - Blood Pressure (mmHg): Systolic=125, Diastolic=85
06:57 - Blood Pressure (mmHg): Systolic=115, Diastolic=82
06:58 - Blood Pressure (mmHg): Systolic=109, Diastolic=80
06:59 - Blood Pressure (mmHg): Systolic=127, Diastolic=82
07:00 - Blood Pressure (mmHg): Systolic=125, Diastolic=85
07:01 - Blood Pressure (mmHg): Systolic=105, Diastolic=78
07:02 - Blood Pressure (mmHg): Systolic=129, Diastolic=71
