00:00 - Blood Pressure (mmHg): Systolic=127, Diastolic=94
01:43 - Blood Pressure (mmHg): Systolic=142, Diastolic=97
01:44 - Blood Pressure (mmHg): Systolic=159, Diastolic=85
01:45 - Blood Pressure (mmHg): Systolic=136, Diastolic=99
01:46 - Blood Pressure (mmHg): Systolic=133, Diastolic=98
01:47 - Blood Pressure (mmHg): Systolic=124, Diastolic=100
01:48 - Blood Pressure (mmHg): Systolic=158, Diastolic=96
01:49 - Blood Pressure (mmHg): Systolic=121, Diastolic=88
01:50 - Blood Pressure (mmHg): Systolic=150, Diastolic=89
01:51 - Blood Pressure (mmHg): Systolic=153, Diastolic=85
01:52 - Blood Pressure (mmHg): Systolic=142, Diastolic=90
01:53 - Blood Pressure (mmHg): Systolic=157, Diastolic=82
01:54 - Blood Pressure (mmHg): Systolic=130, Diastolic=84
01:55 - Blood Pressure (mmHg): Systolic=138, Diastolic=84
01:56 - Blood Pressure (mmHg): Systolic=150, Diastolic=93
01:57 - Blood Pressure (mmHg): Systolic=144, Diastolic=97
01:58 - Blood Pressure (mmHg): Systolic=149, Diastolic=95
01:59 - Blood Pressure (mmHg): Systolic=126, Diastolic=98
02:00 - Blood Pressure (mmHg): Systolic=152, Diastolic=82
02:01 - Blood Pressure (mmHg): Systolic=145, Diastolic=97
02:02 - Blood Pressure (mmHg): Systolic=127, Diastolic=97
02:03 - Blood Pressure (mmHg): Systolic=158, Diastolic=99
02:04 - Blood Pressure (mmHg): Systolic=120, Diastolic=83
02:05 - Blood Pressure (mmHg): Systolic=125, Diastolic=96
02:06 - Blood Pressure (mmHg): Systolic=140, Diastolic=87
02:07 - Blood Pressure (mmHg): Systolic=145, Diastolic=88
02:08 - Blood Pressure (mmHg): Systolic=151, Diastolic=98
02:09 - Blood Pressure (mmHg): Systolic=160, Diastolic=100
02:10 - Blood Pressure (mmHg): Systolic=137, Diastolic=91
02:11 - Blood Pressure (mmHg): Systolic=146, Diastolic=92
02:12 - Blood Pressure (mmHg): Systolic=138, Diastolic=82
02:13 - Blood Pressure (mmHg): Systolic=158, Diastolic=95
02:14 - Blood Pressure (mmHg): Systolic=132, Diastolic=95
02:15 - Blood Pressure (mmHg): Systolic=136, Diastolic=90
02:16 - Blood Pressure (mmHg): Systolic=157, Diastolic=94
02:17 - Blood Pressure (mmHg): Systolic=130, Diastolic=92
02:18 - Blood Pressure (mmHg): Systolic=137, Diastolic=92
02:19 - Blood Pressure (mmHg): Systolic=145, Diastolic=95
02:20 - Blood Pressure (mmHg): Systolic=155, Diastolic=91
02:21 - Blood Pressure (mmHg): Systolic=140, Diastolic=80
02:22 - Blood Pressure (mmHg): Systolic=127, Diastolic=97
02:23 - Blood Pressure (mmHg): Systolic=146, Diastolic=82
02:24 - Blood Pressure (mmHg): Systolic=147, Diastolic=95
02:25 - Blood Pressure (mmHg): Systolic=136, Diastolic=80
02:26 - Blood Pressure (mmHg): Systolic=158, Diastolic=92
02:27 - Blood Pressure (mmHg): Systolic=124, Diastolic=93
02:28 - Blood Pressure (mmHg): Systolic=128, Diastolic=90
02:29 - Blood Pressure (mmHg): Systolic=132, Diastolic=96
02:30 - Blood Pressure (mmHg): Systolic=146, Diastolic=99
02:31 - Blood Pressure (mmHg): Systolic=152, Diastolic=94
02:32 - Blood Pressure (mmHg): Systolic=129, Diastolic=85
02:33 - Blood Pressure (mmHg): Systolic=149, Diastolic=80
02:34 - Blood Pressure (mmHg): Systolic=158, Diastolic=94
02:35 - Blood Pressure (mmHg): Systolic=151, Diastolic=88
02:36 - Blood Pressure (mmHg): Systolic=129, Diastolic=80
02:37 - Blood Pressure (mmHg): Systolic=134, Diastolic=84
02:38 - Blood Pressure (mmHg): Systolic=137, Diastolic=89
02:39 - Blood Pressure (mmHg): Systolic=121, Diastolic=81
02:40 - Blood Pressure (mmHg): Systolic=130, Diastolic=98
02:41 - Blood Pressure (mmHg): Systolic=144, Diastolic=90
02:42 - Blood Pressure (mmHg): Systolic=160, Diastolic=92
02:43 - Blood Pressure (mmHg): Systolic=129, Diastolic=90
02:44 - Blood Pressure (mmHg): Systolic=151, Diastolic=82
02:45 - Blood Pressure (mmHg): Systolic=125, Diastolic=85
02:46 - Blood Pressure (mmHg): Systolic=121, Diastolic=84
02:47 - Blood Pressure (mmHg): Systolic=142, Diastolic=91
02:48 - Blood Pressure (mmHg): Systolic=149, Diastolic=91
02:49 - Blood Pressure (mmHg): Systolic=159, Diastolic=81
02:50 - Blood Pressure (mmHg): Systolic=148, Diastolic=97
02:51 - Blood Pressure (mmHg): Systolic=132, Diastolic=95
02:52 - Blood Pressure (mmHg): Systolic=132, Diastolic=80
02:53 - Blood Pressure (mmHg): Systolic=130, Diastolic=94
02:54 - Blood Pressure (mmHg): Systolic=153, Diastolic=82
02:55 - Blood Pressure (mmHg): Systolic=139, Diastolic=83
02:56 - Blood Pressure (mmHg): Systolic=147, Diastolic=93
02:57 - Blood Pressure (mmHg): Systolic=139, Diastolic=87
02:58 - Blood Pressure (mmHg): Systolic=145, Diastolic=89
02:59 - Blood Pressure (mmHg): Systolic=137, Diastolic=97
03:00 - Blood Pressure (mmHg): Systolic=134, Diastolic=89
03:01 - Blood Pressure (mmHg): Systolic=133, Diastolic=99
03:02 - Blood Pressure (mmHg): Systolic=132, Diastolic=99
03:03 - Blood Pressure (mmHg): Systolic=125, Diastolic=99
03:04 - Blood Pressure (mmHg): Systolic=138, Diastolic=95
03:05 - Blood Pressure (mmHg): Systolic=142, Diastolic=82
03:06 - Blood Pressure (mmHg): Systolic=136, Diastolic=99
03:07 - Blood Pressure (mmHg): Systolic=133, Diastolic=91
03:08 - Blood Pressure (mmHg): Systolic=148, Diastolic=100
03:09 - Blood Pressure (mmHg): Systolic=155, Diastolic=92
03:10 - Blood Pressure (mmHg): Systolic=156, Diastolic=83
03:11 - Blood Pressure (mmHg): Systolic=155, Diastolic=99
03:12 - Blood Pressure (mmHg): Systolic=123, Diastolic=99
03:13 - Blood Pressure (mmHg): Systolic=152, Diastolic=99
03:14 - Blood Pressure (mmHg): Systolic=150, Diastolic=84
03:15 - Blood Pressure (mmHg): Systolic=142, Diastolic=97
03:16 - Blood Pressure (mmHg): Systolic=124, Diastolic=86
03:17 - Blood Pressure (mmHg): Systolic=136, Diastolic=81
03:18 - Blood Pressure (mmHg): Systolic=148, Diastolic=84
03:19 - Blood Pressure (mmHg): Systolic=147, Diastolic=85
03:20 - Blood Pressure (mmHg): Systolic=140, Diastolic=85
03:21 - Blood Pressure (mmHg): Systolic=123, Diastolic=82
03:22 - Blood Pressure (mmHg): Systolic=137, Diastolic=92
03:23 - Blood Pressure (mmHg): Systolic=136, Diastolic=85
03:24 - Blood Pressure (mmHg): Systolic=124, Diastolic=80
03:25 - Blood Pressure (mmHg): Systolic=154, Diastolic=99
03:26 - Blood Pressure (mmHg): Systolic=121, Diastolic=81
03:27 - Blood Pressure (mmHg): Systolic=124, Diastolic=84
03:28 - Blood Pressure (mmHg): Systolic=133, Diastolic=95
03:29 - Blood Pressure (mmHg): Systolic=136, Diastolic=87
03:30 - Blood Pressure (mmHg): Systolic=140, Diastolic=90
03:31 - Blood Pressure (mmHg): Systolic=128, Diastolic=88
03:32 - Blood Pressure (mmHg): Systolic=155, Diastolic=83
03:33 - Blood Pressure (mmHg): Systolic=145, Diastolic=90
03:34 - Blood Pressure (mmHg): Systolic=129, Diastolic=88
03:35 - Blood Pressure (mmHg): Systolic=160, Diastolic=86
03:36 - Blood Pressure (mmHg): Systolic=129, Diastolic=91
03:37 - Blood Pressure (mmHg): Systolic=136, Diastolic=80
03:38 - Blood Pressure (mmHg): Systolic=121, Diastolic=92
03:39 - Blood Pressure (mmHg): Systolic=132, Diastolic=83
03:40 - Blood Pressure (mmHg): Systolic=131, Diastolic=82
03:41 - Blood Pressure (mmHg): Systolic=140, Diastolic=88
03:42 - Blood Pressure (mmHg): Systolic=136, Diastolic=87
03:43 - Blood Pressure (mmHg): Systolic=121, Diastolic=80
03:44 - Blood Pressure (mmHg): Systolic=153, Diastolic=92
03:45 - Blood Pressure (mmHg): Systolic=129, Diastolic=85
03:46 - Blood Pressure (mmHg): Systolic=132, Diastolic=100
03:47 - Blood Pressure (mmHg): Systolic=140, Diastolic=86
03:48 - Blood Pressure (mmHg): Systolic=122, Diastolic=97
03:49 - Blood Pressure (mmHg): Systolic=157, Diastolic=90
03:50 - Blood Pressure (mmHg): Systolic=123, Diastolic=91
03:51 - Blood Pressure (mmHg): Systolic=149, Diastolic=86
03:52 - Blood Pressure (mmHg): Systolic=126, Diastolic=97
03:53 - Blood Pressure (mmHg): Systolic=143, Diastolic=80
03:54 - Blood Pressure (mmHg): Systolic=123, Diastolic=80
03:55 - Blood Pressure (mmHg): Systolic=153, Diastolic=92
03:56 - Blood Pressure (mmHg): Systolic=123, Diastolic=82
03:57 - Blood Pressure (mmHg): Systolic=136, Diastolic=84
03:58 - Blood Pressure (mmHg): Systolic=121, Diastolic=83
03:59 - Blood Pressure (mmHg): Systolic=158, Diastolic=99
04:00 - Blood Pressure (mmHg): Systolic=147, Diastolic=87
04:01 - Blood Pressure (mmHg): Systolic=142, Diastolic=92
04:02 - Blood Pressure (mmHg): Systolic=151, Diastolic=98
04:03 - Blood Pressure (mmHg): Systolic=125, Diastolic=95
04:04 - Blood Pressure (mmHg): Systolic=151, Diastolic=80
04:05 - Blood Pressure (mmHg): Systolic=135, Diastolic=85
04:06 - Blood Pressure (mmHg): Systolic=137, Diastolic=97
04:07 - Blood Pressure (mmHg): Systolic=152, Diastolic=97
04:08 - Blood Pressure (mmHg): Systolic=121, Diastolic=87
04:09 - Blood Pressure (mmHg): Systolic=148, Diastolic=97
04:10 - Blood Pressure (mmHg): Systolic=126, Diastolic=87
04:11 - Blood Pressure (mmHg): Systolic=145, Diastolic=84
04:12 - Blood Pressure (mmHg): Systolic=150, Diastolic=91
04:13 - Blood Pressure (mmHg): Systolic=123, Diastolic=82
04:14 - Blood Pressure (mmHg): Systolic=127, Diastolic=85
04:15 - Blood Pressure (mmHg): Systolic=135, Diastolic=97
04:16 - Blood Pressure (mmHg): Systolic=157, Diastolic=91
04:17 - Blood Pressure (mmHg): Systolic=122, Diastolic=96
04:18 - Blood Pressure (mmHg): Systolic=147, Diastolic=98
04:19 - Blood Pressure (mmHg): Systolic=160, Diastolic=90
04:20 - Blood Pressure (mmHg): Systolic=152, Diastolic=96
04:21 - Blood Pressure (mmHg): Systolic=140, Diastolic=99
04:22 - Blood Pressure (mmHg): Systolic=150, Diastolic=85
04:23 - Blood Pressure (mmHg): Systolic=122, Diastolic=94
04:24 - Blood Pressure (mmHg): Systolic=135, Diastolic=96
04:25 - Blood Pressure (mmHg): Systolic=141, Diastolic=83
04:26 - Blood Pressure (mmHg): Systolic=159, Diastolic=94
04:27 - Blood Pressure (mmHg): Systolic=140, Diastolic=82
04:28 - Blood Pressure (mmHg): Systolic=157, Diastolic=100
04:29 - Blood Pressure (mmHg): Systolic=146, Diastolic=81
04:30 - Blood Pressure (mmHg): Systolic=127, Diastolic=100
04:31 - Blood Pressure (mmHg): Systolic=150, Diastolic=88
04:32 - Blood Pressure (mmHg): Systolic=129, Diastolic=98
04:33 - Blood Pressure (mmHg): Systolic=152, Diastolic=91
04:34 - Blood Pressure (mmHg): Systolic=120, Diastolic=89
04:35 - Blood Pressure (mmHg): Systolic=134, Diastolic=81
04:36 - Blood Pressure (mmHg): Systolic=137, Diastolic=83
04:37 - Blood Pressure (mmHg): Systolic=122, Diastolic=99
04:38 - Blood Pressure (mmHg): Systolic=123, Diastolic=84
04:39 - Blood Pressure (mmHg): Systolic=140, Diastolic=82
04:40 - Blood Pressure (mmHg): Systolic=151, Diastolic=88
04:41 - Blood Pressure (mmHg): Systolic=160, Diastolic=89
04:42 - Blood Pressure (mmHg): Systolic=124, Diastolic=83
04:43 - Blood Pressure (mmHg): Systolic=147, Diastolic=99
04:44 - Blood Pressure (mmHg): Systolic=145, Diastolic=87
04:45 - Blood Pressure (mmHg): Systolic=127, Diastolic=95
04:46 - Blood Pressure (mmHg): Systolic=153, Diastolic=99
04:47 - Blood Pressure (mmHg): Systolic=159, Diastolic=99
04:48 - Blood Pressure (mmHg): Systolic=156, Diastolic=82
04:49 - Blood Pressure (mmHg): Systolic=154, Diastolic=95
04:50 - Blood Pressure (mmHg): Systolic=122, Diastolic=99
04:51 - Blood Pressure (mmHg): Systolic=137, Diastolic=88
04:52 - Blood Pressure (mmHg): Systolic=147, Diastolic=99
04:53 - Blood Pressure (mmHg): Systolic=144, Diastolic=81
04:54 - Blood Pressure (mmHg): Systolic=150, Diastolic=99
04:55 - Blood Pressure (mmHg): Systolic=137, Diastolic=99
04:56 - Blood Pressure (mmHg): Systolic=136, Diastolic=92
04:57 - Blood Pressure (mmHg): Systolic=147, Diastolic=92
04:58 - Blood Pressure (mmHg): Systolic=147, Diastolic=94
04:59 - Blood Pressure (mmHg): Systolic=138, Diastolic=93
05:00 - Blood Pressure (mmHg): Systolic=158, Diastolic=93
05:01 - Blood Pressure (mmHg): Systolic=120, Diastolic=91
05:02 - Blood Pressure (mmHg): Systolic=150, Diastolic=90
05:03 - Blood Pressure (mmHg): Systolic=143, Diastolic=96
05:04 - Blood Pressure (mmHg): Systolic=130, Diastolic=99
05:05 - Blood Pressure (mmHg): Systolic=122, Diastolic=93
05:06 - Blood Pressure (mmHg): Systolic=158, Diastolic=96
05:07 - Blood Pressure (mmHg): Systolic=134, Diastolic=88
05:08 - Blood Pressure (mmHg): Systolic=124, Diastolic=92
05:09 - Blood Pressure (mmHg): Systolic=155, Diastolic=82
05:10 - Blood Pressure (mmHg): Systolic=140, Diastolic=87
05:11 - Blood Pressure (mmHg): Systolic=131, Diastolic=87
05:12 - Blood Pressure (mmHg): Systolic=123, Diastolic=99
05:13 - Blood Pressure (mmHg): Systolic=155, Diastolic=85
05:14 - Blood Pressure (mmHg): Systolic=137, Diastolic=85
05:15 - Blood Pressure (mmHg): Systolic=144, Diastolic=80
05:16 - Blood Pressure (mmHg): Systolic=155, Diastolic=87
05:17 - Blood Pressure (mmHg): Systolic=122, Diastolic=92
05:18 - Blood Pressure (mmHg): Systolic=128, Diastolic=85
05:19 - Blood Pressure (mmHg): Systolic=136, Diastolic=99
05:20 - Blood Pressure (mmHg): Systolic=124, Diastolic=83
05:21 - Blood Pressure (mmHg): Systolic=133, Diastolic=86
05:22 - Blood Pressure (mmHg): Systolic=120, Diastolic=95
05:23 - Blood Pressure (mmHg): Systolic=152, Diastolic=82
05:24 - Blood Pressure (mmHg): Systolic=121, Diastolic=86
05:25 - Blood Pressure (mmHg): Systolic=156, Diastolic=96
05:26 - Blood Pressure (mmHg): Systolic=140, Diastolic=90
05:27 - Blood Pressure (mmHg): Systolic=156, Diastolic=80
05:28 - Blood Pressure (mmHg): Systolic=129, Diastolic=89
05:29 - Blood Pressure (mmHg): Systolic=140, Diastolic=94
05:30 - Blood Pressure (mmHg): Systolic=134, Diastolic=81
05:31 - Blood Pressure (mmHg): Systolic=137, Diastolic=84
05:32 - Blood Pressure (mmHg): Systolic=134, Diastolic=88
05:33 - Blood Pressure (mmHg): Systolic=136, Diastolic=99
05:34 - Blood Pressure (mmHg): Systolic=125, Diastolic=92
05:35 - Blood Pressure (mmHg): Systolic=138, Diastolic=97
05:36 - Blood Pressure (mmHg): Systolic=126, Diastolic=97
05:37 - Blood Pressure (mmHg): Systolic=126, Diastolic=90
05:38 - Blood Pressure (mmHg): Systolic=156, Diastolic=92
05:39 - Blood Pressure (mmHg): Systolic=147, Diastolic=88
05:40 - Blood Pressure (mmHg): Systolic=146, Diastolic=85
05:41 - Blood Pressure (mmHg): Systolic=129, Diastolic=80
05:42 - Blood Pressure (mmHg): Systolic=126, Diastolic=89
05:43 - Blood Pressure (mmHg): Systolic=151, Diastolic=90
05:44 - Blood Pressure (mmHg): Systolic=151, Diastolic=99
05:45 - Blood Pressure (mmHg): Systolic=134, Diastolic=99
05:46 - Blood Pressure (mmHg): Systolic=152, Diastolic=93
05:47 - Blood Pressure (mmHg): Systolic=160, Diastolic=90
05:48 - Blood Pressure (mmHg): Systolic=124, Diastolic=91
05:49 - Blood Pressure (mmHg): Systolic=151, Diastolic=95
05:50 - Blood Pressure (mmHg): Systolic=123, Diastolic=99
05:51 - Blood Pressure (mmHg): Systolic=151, Diastolic=86
05:52 - Blood Pressure (mmHg): Systolic=147, Diastolic=98
05:53 - Blood Pressure (mmHg): Systolic=143, Diastolic=97
05:54 - Blood Pressure (mmHg): Systolic=128, Diastolic=92
05:55 - Blood Pressure (mmHg): Systolic=148, Diastolic=96
05:56 - Blood Pressure (mmHg): Systolic=137, Diastolic=84
05:57 - Blood Pressure (mmHg): Systolic=132, Diastolic=94
05:58 - Blood Pressure (mmHg): Systolic=131, Diastolic=96
05:59 - Blood Pressure (mmHg): Systolic=126, Diastolic=86
06:00 - Blood Pressure (mmHg): Systolic=123, Diastolic=91
06:01 - Blood Pressure (mmHg): Systolic=125, Diastolic=83
06:02 - Blood Pressure (mmHg): Systolic=150, Diastolic=98
06:03 - Blood Pressure (mmHg): Systolic=129, Diastolic=95
06:04 - Blood Pressure (mmHg): Systolic=158, Diastolic=92
06:05 - Blood Pressure (mmHg): Systolic=152, Diastolic=97
06:06 - Blood Pressure (mmHg): Systolic=127, Diastolic=87
06:07 - Blood Pressure (mmHg): Systolic=160, Diastolic=98
06:08 - Blood Pressure (mmHg): Systolic=146, Diastolic=88
06:09 - Blood Pressure (mmHg): Systolic=147, Diastolic=95
06:10 - Blood Pressure (mmHg): Systolic=123, Diastolic=85
06:11 - Blood Pressure (mmHg): Systolic=156, Diastolic=81
06:12 - Blood Pressure (mmHg): Systolic=125, Diastolic=95
06:13 - Blood Pressure (mmHg): Systolic=121, Diastolic=96
06:14 - Blood Pressure (mmHg): Systolic=141, Diastolic=85
06:15 - Blood Pressure (mmHg): Systolic=158, Diastolic=100
06:16 - Blood Pressure (mmHg): Systolic=157, Diastolic=96
06:17 - Blood Pressure (mmHg): Systolic=147, Diastolic=87
06:18 - Blood Pressure (mmHg): Systolic=121, Diastolic=94
06:19 - Blood Pressure (mmHg): Systolic=129, Diastolic=92
06:20 - Blood Pressure (mmHg): Systolic=125, Diastolic=100
06:21 - Blood Pressure (mmHg): Systolic=153, Diastolic=94
06:22 - Blood Pressure (mmHg): Systolic=127, Diastolic=97
06:23 - Blood Pressure (mmHg): Systolic=133, Diastolic=89
06:24 - Blood Pressure (mmHg): Systolic=152, Diastolic=90
06:25 - Blood Pressure (mmHg): Systolic=125, Diastolic=100
06:26 - Blood Pressure (mmHg): Systolic=139, Diastolic=95
06:27 - Blood Pressure (mmHg): Systolic=133, Diastolic=81
06:28 - Blood Pressure (mmHg): Systolic=131, Diastolic=84
06:29 - Blood Pressure (mmHg): Systolic=134, Diastolic=88
06:30 - Blood Pressure (mmHg): Systolic=145, Diastolic=96
06:31 - Blood Pressure (mmHg): Systolic=126, Diastolic=97
06:32 - Blood Pressure (mmHg): Systolic=158, Diastolic=100
06:33 - Blood Pressure (mmHg): Systolic=124, Diastolic=94
06:34 - Blood Pressure (mmHg): Systolic=121, Diastolic=98
06:35 - Blood Pressure (mmHg): Systolic=157, Diastolic=97
06:36 - Blood Pressure (mmHg): Systolic=147, Diastolic=86
06:37 - Blood Pressure (mmHg): Systolic=127, Diastolic=85
06:38 - Blood Pressure (mmHg): Systolic=143, Diastolic=81
06:39 - Blood Pressure (mmHg): Systolic=149, Diastolic=97
06:40 - Blood Pressure (mmHg): Systolic=160, Diastolic=93
06:41 - Blood Pressure (mmHg): Systolic=130, Diastolic=85
06:42 - Blood Pressure (mmHg): Systolic=159, Diastolic=96
06:43 - Blood Pressure (mmHg): Systolic=143, Diastolic=86
06:44 - Blood Pressure (mmHg): Systolic=142, Diastolic=97
06:45 - Blood Pressure (mmHg): Systolic=126, Diastolic=99
06:46 - Blood Pressure (mmHg): Systolic=151, Diastolic=81
06:47 - Blood Pressure (mmHg): Systolic=153, Diastolic=96
06:48 - Blood Pressure (mmHg): Systolic=127, Diastolic=94
06:49 - Blood Pressure (mmHg): Systolic=130, Diastolic=84
06:50 - Blood Pressure (mmHg): Systolic=158, Diastolic=91
06:51 - Blood Pressure (mmHg): Systolic=137, Diastolic=82
06:52 - Blood Pressure (mmHg): Systolic=159, Diastolic=81
06:53 - Blood Pressure (mmHg): Systolic=144, Diastolic=94
06:54 - Blood Pressure (mmHg): Systolic=131, Diastolic=88
06:55 - Blood Pressure (mmHg): Systolic=126, Diastolic=92
06:56 - Blood Pressure (mmHg): Systolic=160, Diastolic=96
06:57 - Blood Pressure (mmHg): Systolic=158, Diastolic=89
06:58 - Blood Pressure (mmHg): Systolic=124, Diastolic=99
06:59 - Blood Pressure (mmHg): Systolic=122, Diastolic=92
07:00 - Blood Pressure (mmHg): Systolic=124, Diastolic=98
07:01 - Blood Pressure (mmHg): Systolic=132, Diastolic=95
07:02 - Blood Pressure (mmHg): Systolic=142, Diastolic=94
