00:00 - Blood Pressure (mmHg): Systolic=118, Diastolic=78
01:27 - Blood Pressure (mmHg): Systolic=111, Diastolic=68
01:28 - Blood Pressure (mmHg): Systolic=109, Diastolic=62
01:29 - Blood Pressure (mmHg): Systolic=112, Diastolic=61
01:30 - Blood Pressure (mmHg): Systolic=110, Diastolic=64
01:31 - Blood Pressure (mmHg): Systolic=119, Diastolic=76
01:32 - Blood Pressure (mmHg): Systolic=105, Diastolic=69
01:33 - Blood Pressure (mmHg): Systolic=105, Diastolic=68
01:34 - Blood Pressure (mmHg): Systolic=111, Diastolic=74
01:35 - Blood Pressure (mmHg): Systolic=108, Diastolic=69
01:36 - Blood Pressure (mmHg): Systolic=108, Diastolic=74
01:37 - Blood Pressure (mmHg): Systolic=93, Diastolic=79
01:38 - Blood Pressure (mmHg): Systolic=101, Diastolic=66
01:39 - Blood Pressure (mmHg): Systolic=91, Diastolic=78
01:40 - Blood Pressure (mmHg): Systolic=106, Diastolic=79
01:41 - Blood Pressure (mmHg): Systolic=116, Diastolic=70
01:42 - Blood Pressure (mmHg): Systolic=98, Diastolic=75
01:43 - Blood Pressure (mmHg): Systolic=105, Diastolic=71
01:44 - Blood Pressure (mmHg): Systolic=118, Diastolic=75
01:45 - Blood Pressure (mmHg): Systolic=118, Diastolic=72
01:46 - Blood Pressure (mmHg): Systolic=103, Diastolic=68
01:47 - Blood Pressure (mmHg): Systolic=114, Diastolic=64
01:48 - Blood Pressure (mmHg): Systolic=91, Diastolic=76
01:49 - Blood Pressure (mmHg): Systolic=115, Diastolic=73
01:50 - Blood Pressure (mmHg): Systolic=115, Diastolic=64
01:51 - Blood Pressure (mmHg): Systolic=98, Diastolic=72
01:52 - Blood Pressure (mmHg): Systolic=92, Diastolic=71
01:53 - Blood Pressure (mmHg): Systolic=107, Diastolic=76
01:54 - Blood Pressure (mmHg): Systolic=118, Diastolic=76
01:55 - Blood Pressure (mmHg): Systolic=107, Diastolic=80
01:56 - Blood Pressure (mmHg): Systolic=106, Diastolic=63
01:57 - Blood Pressure (mmHg): Systolic=99, Diastolic=64
01:58 - Blood Pressure (mmHg): Systolic=106, Diastolic=78
01:59 - Blood Pressure (mmHg): Systolic=105, Diastolic=75
02:00 - Blood Pressure (mmHg): Systolic=119, Diastolic=75
02:01 - Blood Pressure (mmHg): Systolic=107, Diastolic=72
02:02 - Blood Pressure (mmHg): Systolic=113, Diastolic=61
02:03 - Blood Pressure (mmHg): Systolic=118, Diastolic=61
02:04 - Blood Pressure (mmHg): Systolic=98, Diastolic=67
02:05 - Blood Pressure (mmHg): Systolic=100, Diastolic=62
02:06 - Blood Pressure (mmHg): Systolic=93, Diastolic=72
02:07 - Blood Pressure (mmHg): Systolic=110, Diastolic=74
02:08 - Blood Pressure (mmHg): Systolic=102, Diastolic=61
02:09 - Blood Pressure (mmHg): Systolic=106, Diastolic=60
02:10 - Blood Pressure (mmHg): Systolic=103, Diastolic=79
02:11 - Blood Pressure (mmHg): Systolic=107, Diastolic=77
02:12 - Blood Pressure (mmHg): Systolic=112, Diastolic=62
02:13 - Blood Pressure (mmHg): Systolic=106, Diastolic=78
02:14 - Blood Pressure (mmHg): Systolic=118, Diastolic=65
02:15 - Blood Pressure (mmHg): Systolic=119, Diastolic=78
02:16 - Blood Pressure (mmHg): Systolic=114, Diastolic=73
02:17 - Blood Pressure (mmHg): Systolic=109, Diastolic=78
02:18 - Blood Pressure (mmHg): Systolic=120, Diastolic=63
02:19 - Blood Pressure (mmHg): Systolic=102, Diastolic=79
02:20 - Blood Pressure (mmHg): Systolic=108, Diastolic=66
02:21 - Blood Pressure (mmHg): Systolic=96, Diastolic=73
02:22 - Blood Pressure (mmHg): Systolic=98, Diastolic=78
02:23 - Blood Pressure (mmHg): Systolic=101, Diastolic=62
02:24 - Blood Pressure (mmHg): Systolic=93, Diastolic=78
02:25 - Blood Pressure (mmHg): Systolic=97, Diastolic=60
02:26 - Blood Pressure (mmHg): Systolic=102, Diastolic=71
02:27 - Blood Pressure (mmHg): Systolic=105, Diastolic=75
02:28 - Blood Pressure (mmHg): Systolic=102, Diastolic=77
02:29 - Blood Pressure (mmHg): Systolic=110, Diastolic=80
02:30 - Blood Pressure (mmHg): Systolic=96, Diastolic=67
02:31 - Blood Pressure (mmHg): Systolic=90, Diastolic=71
02:32 - Blood Pressure (mmHg): Systolic=97, Diastolic=60
02:33 - Blood Pressure (mmHg): Systolic=96, Diastolic=76
02:34 - Blood Pressure (mmHg): Systolic=99, Diastolic=77
02:35 - Blood Pressure (mmHg): Systolic=93, Diastolic=66
02:36 - Blood Pressure (mmHg): Systolic=107, Diastolic=68
02:37 - Blood Pressure (mmHg): Systolic=91, Diastolic=77
02:38 - Blood Pressure (mmHg): Systolic=104, Diastolic=75
02:39 - Blood Pressure (mmHg): Systolic=94, Diastolic=73
02:40 - Blood Pressure (mmHg): Systolic=97, Diastolic=76
02:41 - Blood Pressure (mmHg): Systolic=117, Diastolic=73
02:42 - Blood Pressure (mmHg): Systolic=104, Diastolic=77
02:43 - Blood Pressure (mmHg): Systolic=115, Diastolic=61
02:44 - Blood Pressure (mmHg): Systolic=118, Diastolic=61
02:45 - Blood Pressure (mmHg): Systolic=113, Diastolic=68
02:46 - Blood Pressure (mmHg): Systolic=109, Diastolic=75
02:47 - Blood Pressure (mmHg): Systolic=115, Diastolic=67
02:48 - Blood Pressure (mmHg): Systolic=102, Diastolic=60
02:49 - Blood Pressure (mmHg): Systolic=90, Diastolic=60
02:50 - Blood Pressure (mmHg): Systolic=113, Diastolic=77
02:51 - Blood Pressure (mmHg): Systolic=97, Diastolic=72
02:52 - Blood Pressure (mmHg): Systolic=93, Diastolic=75
02:53 - Blood Pressure (mmHg): Systolic=95, Diastolic=66
02:54 - Blood Pressure (mmHg): Systolic=106, Diastolic=62
02:55 - Blood Pressure (mmHg): Systolic=90, Diastolic=60
02:56 - Blood Pressure (mmHg): Systolic=92, Diastolic=75
02:57 - Blood Pressure (mmHg): Systolic=101, Diastolic=62
02:58 - Blood Pressure (mmHg): Systolic=91, Diastolic=77
02:59 - Blood Pressure (mmHg): Systolic=114, Diastolic=70
03:00 - Blood Pressure (mmHg): Systolic=113, Diastolic=64
03:01 - Blood Pressure (mmHg): Systolic=111, Diastolic=67
03:02 - Blood Pressure (mmHg): Systolic=115, Diastolic=66
03:03 - Blood Pressure (mmHg): Systolic=95, Diastolic=80
03:04 - Blood Pressure (mmHg): Systolic=114, Diastolic=74
03:05 - Blood Pressure (mmHg): Systolic=90, Diastolic=75
03:06 - Blood Pressure (mmHg): Systolic=115, Diastolic=73
03:07 - Blood Pressure (mmHg): Systolic=108, Diastolic=80
03:08 - Blood Pressure (mmHg): Systolic=110, Diastolic=63
03:09 - Blood Pressure (mmHg): Systolic=97, Diastolic=60
03:10 - Blood Pressure (mmHg): Systolic=103, Diastolic=73
03:11 - Blood Pressure (mmHg): Systolic=91, Diastolic=68
03:12 - Blood Pressure (mmHg): Systolic=102, Diastolic=74
03:13 - Blood Pressure (mmHg): Systolic=98, Diastolic=74
03:14 - Blood Pressure (mmHg): Systolic=114, Diastolic=63
03:15 - Blood Pressure (mmHg): Systolic=111, Diastolic=78
03:16 - Blood Pressure (mmHg): Systolic=109, Diastolic=60
03:17 - Blood Pressure (mmHg): Systolic=95, Diastolic=60
03:18 - Blood Pressure (mmHg): Systolic=105, Diastolic=68
03:19 - Blood Pressure (mmHg): Systolic=103, Diastolic=62
03:20 - Blood Pressure (mmHg): Systolic=119, Diastolic=72
03:21 - Blood Pressure (mmHg): Systolic=109, Diastolic=80
03:22 - Blood Pressure (mmHg): Systolic=117, Diastolic=78
03:23 - Blood Pressure (mmHg): Systolic=102, Diastolic=75
03:24 - Blood Pressure (mmHg): Systolic=104, Diastolic=64
03:25 - Blood Pressure (mmHg): Systolic=120, Diastolic=76
03:26 - Blood Pressure (mmHg): Systolic=107, Diastolic=63
03:27 - Blood Pressure (mmHg): Systolic=92, Diastolic=69
03:28 - Blood Pressure (mmHg): Systolic=91, Diastolic=63
03:29 - Blood Pressure (mmHg): Systolic=115, Diastolic=61
03:30 - Blood Pressure (mmHg): Systolic=101, Diastolic=60
03:31 - Blood Pressure (mmHg): Systolic=99, Diastolic=71
03:32 - Blood Pressure (mmHg): Systolic=112, Diastolic=71
03:33 - Blood Pressure (mmHg): Systolic=102, Diastolic=65
03:34 - Blood Pressure (mmHg): Systolic=108, Diastolic=62
03:35 - Blood Pressure (mmHg): Systolic=114, Diastolic=66
03:36 - Blood Pressure (mmHg): Systolic=97, Diastolic=61
03:37 - Blood Pressure (mmHg): Systolic=103, Diastolic=64
03:38 - Blood Pressure (mmHg): Systolic=109, Diastolic=69
03:39 - Blood Pressure (mmHg): Systolic=102, Diastolic=62
03:40 - Blood Pressure (mmHg): Systolic=108, Diastolic=60
03:41 - Blood Pressure (mmHg): Systolic=90, Diastolic=72
03:42 - Blood Pressure (mmHg): Systolic=106, Diastolic=66
03:43 - Blood Pressure (mmHg): Systolic=99, Diastolic=71
03:44 - Blood Pressure (mmHg): Systolic=99, Diastolic=75
03:45 - Blood Pressure (mmHg): Systolic=93, Diastolic=60
03:46 - Blood Pressure (mmHg): Systolic=96, Diastolic=72
03:47 - Blood Pressure (mmHg): Systolic=116, Diastolic=80
03:48 - Blood Pressure (mmHg): Systolic=90, Diastolic=62
03:49 - Blood Pressure (mmHg): Systolic=106, Diastolic=70
03:50 - Blood Pressure (mmHg): Systolic=90, Diastolic=73
03:51 - Blood Pressure (mmHg): Systolic=105, Diastolic=78
03:52 - Blood Pressure (mmHg): Systolic=105, Diastolic=76
03:53 - Blood Pressure (mmHg): Systolic=117, Diastolic=69
03:54 - Blood Pressure (mmHg): Systolic=100, Diastolic=75
03:55 - Blood Pressure (mmHg): Systolic=93, Diastolic=80
03:56 - Blood Pressure (mmHg): Systolic=104, Diastolic=66
03:57 - Blood Pressure (mmHg): Systolic=92, Diastolic=73
03:58 - Blood Pressure (mmHg): Systolic=102, Diastolic=71
03:59 - Blood Pressure (mmHg): Systolic=106, Diastolic=67
04:00 - Blood Pressure (mmHg): Systolic=101, Diastolic=60
04:01 - Blood Pressure (mmHg): Systolic=93, Diastolic=61
04:02 - Blood Pressure (mmHg): Systolic=114, Diastolic=68
04:03 - Blood Pressure (mmHg): Systolic=113, Diastolic=62
04:04 - Blood Pressure (mmHg): Systolic=95, Diastolic=70
04:05 - Blood Pressure (mmHg): Systolic=97, Diastolic=65
04:06 - Blood Pressure (mmHg): Systolic=99, Diastolic=68
04:07 - Blood Pressure (mmHg): Systolic=90, Diastolic=77
04:08 - Blood Pressure (mmHg): Systolic=109, Diastolic=62
04:09 - Blood Pressure (mmHg): Systolic=104, Diastolic=72
04:10 - Blood Pressure (mmHg): Systolic=96, Diastolic=61
04:11 - Blood Pressure (mmHg): Systolic=110, Diastolic=65
04:12 - Blood Pressure (mmHg): Systolic=119, Diastolic=75
04:13 - Blood Pressure (mmHg): Systolic=99, Diastolic=68
04:14 - Blood Pressure (mmHg): Systolic=97, Diastolic=70
04:15 - Blood Pressure (mmHg): Systolic=120, Diastolic=76
04:16 - Blood Pressure (mmHg): Systolic=94, Diastolic=67
04:17 - Blood Pressure (mmHg): Systolic=110, Diastolic=68
04:18 - Blood Pressure (mmHg): Systolic=97, Diastolic=75
04:19 - Blood Pressure (mmHg): Systolic=96, Diastolic=68
04:20 - Blood Pressure (mmHg): Systolic=110, Diastolic=75
04:21 - Blood Pressure (mmHg): Systolic=119, Diastolic=76
04:22 - Blood Pressure (mmHg): Systolic=97, Diastolic=74
04:23 - Blood Pressure (mmHg): Systolic=110, Diastolic=66
04:24 - Blood Pressure (mmHg): Systolic=114, Diastolic=72
04:25 - Blood Pressure (mmHg): Systolic=108, Diastolic=64
04:26 - Blood Pressure (mmHg): Systolic=119, Diastolic=77
04:27 - Blood Pressure (mmHg): Systolic=113, Diastolic=70
04:28 - Blood Pressure (mmHg): Systolic=102, Diastolic=77
04:29 - Blood Pressure (mmHg): Systolic=106, Diastolic=66
04:30 - Blood Pressure (mmHg): Systolic=96, Diastolic=60
04:31 - Blood Pressure (mmHg): Systolic=94, Diastolic=68
04:32 - Blood Pressure (mmHg): Systolic=103, Diastolic=68
04:33 - Blood Pressure (mmHg): Systolic=102, Diastolic=73
04:34 - Blood Pressure (mmHg): Systolic=95, Diastolic=64
04:35 - Blood Pressure (mmHg): Systolic=107, Diastolic=63
04:36 - Blood Pressure (mmHg): Systolic=105, Diastolic=66
04:37 - Blood Pressure (mmHg): Systolic=119, Diastolic=74
04:38 - Blood Pressure (mmHg): Systolic=95, Diastolic=68
04:39 - Blood Pressure (mmHg): Systolic=102, Diastolic=73
04:40 - Blood Pressure (mmHg): Systolic=111, Diastolic=78
04:41 - Blood Pressure (mmHg): Systolic=110, Diastolic=62
04:42 - Blood Pressure (mmHg): Systolic=115, Diastolic=70
04:43 - Blood Pressure (mmHg): Systolic=114, Diastolic=63
04:44 - Blood Pressure (mmHg): Systolic=115, Diastolic=65
04:45 - Blood Pressure (mmHg): Systolic=110, Diastolic=77
04:46 - Blood Pressure (mmHg): Systolic=102, Diastolic=64
04:47 - Blood Pressure (mmHg): Systolic=90, Diastolic=72
04:48 - Blood Pressure (mmHg): Systolic=102, Diastolic=73
04:49 - Blood Pressure (mmHg): Systolic=107, Diastolic=77
04:50 - Blood Pressure (mmHg): Systolic=91, Diastolic=78
04:51 - Blood Pressure (mmHg): Systolic=106, Diastolic=62
04:52 - Blood Pressure (mmHg): Systolic=109, Diastolic=65
04:53 - Blood Pressure (mmHg): Systolic=105, Diastolic=74
04:54 - Blood Pressure (mmHg): Systolic=115, Diastolic=67
04:55 - Blood Pressure (mmHg): Systolic=95, Diastolic=75
04:56 - Blood Pressure (mmHg): Systolic=108, Diastolic=71
04:57 - Blood Pressure (mmHg): Systolic=103, Diastolic=67
04:58 - Blood Pressure (mmHg): Systolic=95, Diastolic=60
04:59 - Blood Pressure (mmHg): Systolic=118, Diastolic=76
05:00 - Blood Pressure (mmHg): Systolic=101, Diastolic=71
05:01 - Blood Pressure (mmHg): Systolic=118, Diastolic=74
05:02 - Blood Pressure (mmHg): Systolic=105, Diastolic=74
05:03 - Blood Pressure (mmHg): Systolic=117, Diastolic=80
05:04 - Blood Pressure (mmHg): Systolic=96, Diastolic=79
05:05 - Blood Pressure (mmHg): Systolic=110, Diastolic=61
05:06 - Blood Pressure (mmHg): Systolic=98, Diastolic=69
05:07 - Blood Pressure (mmHg): Systolic=104, Diastolic=68
05:08 - Blood Pressure (mmHg): Systolic=107, Diastolic=61
05:09 - Blood Pressure (mmHg): Systolic=98, Diastolic=63
05:10 - Blood Pressure (mmHg): Systolic=92, Diastolic=72
05:11 - Blood Pressure (mmHg): Systolic=104, Diastolic=77
05:12 - Blood Pressure (mmHg): Systolic=90, Diastolic=71
05:13 - Blood Pressure (mmHg): Systolic=94, Diastolic=63
05:14 - Blood Pressure (mmHg): Systolic=98, Diastolic=63
05:15 - Blood Pressure (mmHg): Systolic=110, Diastolic=77
05:16 - Blood Pressure (mmHg): Systolic=100, Diastolic=60
05:17 - Blood Pressure (mmHg): Systolic=110, Diastolic=64
05:18 - Blood Pressure (mmHg): Systolic=120, Diastolic=79
05:19 - Blood Pressure (mmHg): Systolic=90, Diastolic=77
05:20 - Blood Pressure (mmHg): Systolic=118, Diastolic=63
05:21 - Blood Pressure (mmHg): Systolic=98, Diastolic=78
05:22 - Blood Pressure (mmHg): Systolic=92, Diastolic=62
05:23 - Blood Pressure (mmHg): Systolic=90, Diastolic=71
05:24 - Blood Pressure (mmHg): Systolic=104, Diastolic=76
05:25 - Blood Pressure (mmHg): Systolic=115, Diastolic=68
05:26 - Blood Pressure (mmHg): Systolic=112, Diastolic=69
05:27 - Blood Pressure (mmHg): Systolic=115, Diastolic=79
05:28 - Blood Pressure (mmHg): Systolic=111, Diastolic=63
05:29 - Blood Pressure (mmHg): Systolic=91, Diastolic=74
05:30 - Blood Pressure (mmHg): Systolic=117, Diastolic=76
05:31 - Blood Pressure (mmHg): Systolic=108, Diastolic=67
05:32 - Blood Pressure (mmHg): Systolic=117, Diastolic=69
05:33 - Blood Pressure (mmHg): Systolic=97, Diastolic=73
05:34 - Blood Pressure (mmHg): Systolic=114, Diastolic=63
05:35 - Blood Pressure (mmHg): Systolic=116, Diastolic=76
05:36 - Blood Pressure (mmHg): Systolic=97, Diastolic=77
05:37 - Blood Pressure (mmHg): Systolic=119, Diastolic=67
05:38 - Blood Pressure (mmHg): Systolic=96, Diastolic=80
05:39 - Blood Pressure (mmHg): Systolic=90, Diastolic=71
05:40 - Blood Pressure (mmHg): Systolic=114, Diastolic=80
05:41 - Blood Pressure (mmHg): Systolic=103, Diastolic=70
05:42 - Blood Pressure (mmHg): Systolic=103, Diastolic=71
05:43 - Blood Pressure (mmHg): Systolic=106, Diastolic=64
05:44 - Blood Pressure (mmHg): Systolic=101, Diastolic=75
05:45 - Blood Pressure (mmHg): Systolic=116, Diastolic=74
05:46 - Blood Pressure (mmHg): Systolic=120, Diastolic=72
05:47 - Blood Pressure (mmHg): Systolic=101, Diastolic=76
05:48 - Blood Pressure (mmHg): Systolic=118, Diastolic=66
05:49 - Blood Pressure (mmHg): Systolic=108, Diastolic=61
05:50 - Blood Pressure (mmHg): Systolic=112, Diastolic=71
05:51 - Blood Pressure (mmHg): Systolic=119, Diastolic=64
05:52 - Blood Pressure (mmHg): Systolic=95, Diastolic=79
05:53 - Blood Pressure (mmHg): Systolic=104, Diastolic=77
05:54 - Blood Pressure (mmHg): Systolic=106, Diastolic=70
05:55 - Blood Pressure (mmHg): Systolic=110, Diastolic=67
05:56 - Blood Pressure (mmHg): Systolic=116, Diastolic=70
05:57 - Blood Pressure (mmHg): Systolic=115, Diastolic=67
05:58 - Blood Pressure (mmHg): Systolic=104, Diastolic=78
05:59 - Blood Pressure (mmHg): Systolic=106, Diastolic=61
06:00 - Blood Pressure (mmHg): Systolic=100, Diastolic=74
06:01 - Blood Pressure (mmHg): Systolic=108, Diastolic=65
06:02 - Blood Pressure (mmHg): Systolic=108, Diastolic=61
06:03 - Blood Pressure (mmHg): Systolic=103, Diastolic=73
06:04 - Blood Pressure (mmHg): Systolic=95, Diastolic=73
06:05 - Blood Pressure (mmHg): Systolic=97, Diastolic=64
06:06 - Blood Pressure (mmHg): Systolic=119, Diastolic=71
06:07 - Blood Pressure (mmHg): Systolic=99, Diastolic=62
06:08 - Blood Pressure (mmHg): Systolic=104, Diastolic=78
06:09 - Blood Pressure (mmHg): Systolic=97, Diastolic=62
06:10 - Blood Pressure (mmHg): Systolic=118, Diastolic=67
06:11 - Blood Pressure (mmHg): Systolic=120, Diastolic=77
06:12 - Blood Pressure (mmHg): Systolic=109, Diastolic=75
06:13 - Blood Pressure (mmHg): Systolic=103, Diastolic=73
06:14 - Blood Pressure (mmHg): Systolic=102, Diastolic=65
06:15 - Blood Pressure (mmHg): Systolic=93, Diastolic=64
06:16 - Blood Pressure (mmHg): Systolic=106, Diastolic=71
06:17 - Blood Pressure (mmHg): Systolic=103, Diastolic=67
06:18 - Blood Pressure (mmHg): Systolic=103, Diastolic=65
06:19 - Blood Pressure (mmHg): Systolic=93, Diastolic=76
06:20 - Blood Pressure (mmHg): Systolic=96, Diastolic=65
06:21 - Blood Pressure (mmHg): Systolic=93, Diastolic=67
06:22 - Blood Pressure (mmHg): Systolic=105, Diastolic=69
06:23 - Blood Pressure (mmHg): Systolic=117, Diastolic=62
06:24 - Blood Pressure (mmHg): Systolic=116, Diastolic=69
06:25 - Blood Pressure (mmHg): Systolic=109, Diastolic=76
06:26 - Blood Pressure (mmHg): Systolic=96, Diastolic=73
06:27 - Blood Pressure (mmHg): Systolic=95, Diastolic=80
06:28 - Blood Pressure (mmHg): Systolic=107, Diastolic=61
06:29 - Blood Pressure (mmHg): Systolic=111, Diastolic=77
06:30 - Blood Pressure (mmHg): Systolic=92, Diastolic=72
06:31 - Blood Pressure (mmHg): Systolic=110, Diastolic=65
06:32 - Blood Pressure (mmHg): Systolic=117, Diastolic=69
06:33 - Blood Pressure (mmHg): Systolic=105, Diastolic=69
06:34 - Blood Pressure (mmHg): Systolic=90, Diastolic=61
06:35 - Blood Pressure (mmHg): Systolic=97, Diastolic=66
06:36 - Blood Pressure (mmHg): Systolic=102, Diastolic=60
06:37 - Blood Pressure (mmHg): Systolic=111, Diastolic=66
06:38 - Blood Pressure (mmHg): Systolic=99, Diastolic=61
06:39 - Blood Pressure (mmHg): Systolic=114, Diastolic=63
06:40 - Blood Pressure (mmHg): Systolic=101, Diastolic=64
06:41 - Blood Pressure (mmHg): Systolic=95, Diastolic=67
06:42 - Blood Pressure (mmHg): Systolic=104, Diastolic=67
06:43 - Blood Pressure (mmHg): Systolic=117, Diastolic=60
06:44 - Blood Pressure (mmHg): Systolic=96, Diastolic=76
06:45 - Blood Pressure (mmHg): Systolic=91, Diastolic=79
06:46 - Blood Pressure (mmHg): Systolic=102, Diastolic=73
06:47 - Blood Pressure (mmHg): Systolic=94, Diastolic=69
06:48 - Blood Pressure (mmHg): Systolic=104, Diastolic=67
06:49 - Blood Pressure (mmHg): Systolic=101, Diastolic=69
06:50 - Blood Pressure (mmHg): Systolic=110, Diastolic=79
06:51 - Blood Pressure (mmHg): Systolic=108, Diastolic=76
06:52 - Blood Pressure (mmHg): Systolic=92, Diastolic=69
06:53 - Blood Pressure (mmHg): Systolic=109, Diastolic=74
06:54 - Blood Pressure (mmHg): Systolic=112, Diastolic=65
06:55 - Blood Pressure (mmHg): Systolic=92, Diastolic=75
06:56 - Blood Pressure (mmHg): Systolic=107, Diastolic=73
06:57 - Blood Pressure (mmHg): Systolic=120, Diastolic=78
06:58 - Blood Pressure (mmHg): Systolic=103, Diastolic=65
06:59 - Blood Pressure (mmHg): Systolic=92, Diastolic=64
07:00 - Blood Pressure (mmHg): Systolic=90, Diastolic=64
07:01 - Blood Pressure (mmHg): Systolic=108, Diastolic=69
07:02 - Blood Pressure (mmHg): Systolic=120, Diastolic=67
